time_s,avg_target,coverage_target,frac_overdose,total_mass_proxy
0.0,0.0,0.0,0.0,0.0
300.0,9.546662749053762e-33,0.0,0.0,3.653354755704626e-05
600.0,7.151346269365439e-23,0.0,0.0,0.00014718477233617125
900.0,1.1879509973255117e-18,0.0,0.0,0.0003297620863132112
1200.0,4.580267502543144e-16,0.0,0.0,0.0005821387046020348
1500.0,2.892386902805743e-14,0.0,0.0,0.0009022507292884332
1800.0,6.385940342142477e-13,0.0,0.0,0.0012880952899231883
2100.0,7.1594184142182844e-12,0.0,0.0,0.0017377287389989623
2400.0,5.029114326185667e-11,0.0,0.0,0.0022492649007851916
2700.0,2.5187943853338065e-10,0.0,0.0,0.0028208733719432373
3000.0,9.788419121078362e-10,0.0,0.0,0.0034507778723907017
3300.0,3.1277989093159967e-09,0.0,0.00048828125,0.0041372546449290944
3600.0,8.564188742162091e-09,0.0,0.0009765625,0.004878630902192958
3900.0,2.0709900979594394e-08,0.0,0.00244140625,0.005673283319521201
4200.0,4.524445022743255e-08,0.0,0.00244140625,0.006519636572392788
4500.0,9.086513882950392e-08,0.0,0.00244140625,0.007416161917109008
4800.0,1.7004454495831722e-07,0.0,0.0029296875,0.008361375813443633
5100.0,2.997275083097656e-07,0.0,0.00341796875,0.009353838588019938
5400.0,5.01920892341947e-07,0.0,0.00390625,0.010392153137210416
5700.0,8.04143882112327e-07,0.0,0.00537109375,0.011474963668390459
6000.0,1.2397213464046303e-06,0.0,0.00537109375,0.012600954478411948
6300.0,1.847915879109948e-06,0.0,0.00634765625,0.01376884876819624
6600.0,2.6739045600685825e-06,0.0,0.00634765625,0.014977407492378426
6900.0,3.7686139870971532e-06,0.0,0.00732421875,0.01622542824296658
7200.0,5.1884319244104835e-06,0.0,0.0078125,0.01751174416601004
7500.0,6.994816411801995e-06,0.0,0.0087890625,0.018798689362743735
7800.0,9.253823884413317e-06,0.0,0.009765625,0.020047580834824608
8100.0,1.2035577251254346e-05,0.0,0.01025390625,0.02125954379408266
8400.0,1.5413693396937063e-05,0.0,0.01123046875,0.022435670180922487
8700.0,1.9464687527566656e-05,0.0,0.01220703125,0.0235770196481271
9000.0,2.4267369075393162e-05,0.0,0.01220703125,0.02468462051557168
9300.0,2.990223868244064e-05,0.0,0.01220703125,0.025759470696707358
9600.0,3.645088417733101e-05,0.0,0.01318359375,0.026802538597649753
9900.0,4.399535506004726e-05,0.0,0.013671875,0.027814763989682363
10200.0,5.261747893699806e-05,0.0,0.013671875,0.028797058855960816
10500.0,6.23980820396276e-05,0.0,0.01416015625,0.029750308213180986
10800.0,7.341609324589151e-05,0.0,0.01513671875,0.03067537090895107
11100.0,8.57475395062063e-05,0.0,0.01611328125,0.031573080395586234
11400.0,9.946446853412356e-05,0.0,0.0166015625,0.032444245481022836
11700.0,0.0001146338533357977,0.0,0.0166015625,0.03328965105752891
12000.0,0.0001313165395755965,0.0,0.017578125,0.034110058808867305
12300.0,0.00014956629240093805,0.0,0.017578125,0.034906207896548753
12600.0,0.00016942898783367034,0.0,0.01806640625,0.035678815625793094
12900.0,0.0001909419790562437,0.0,0.01806640625,0.03642857809179861
13200.0,0.0002141336529447353,0.0,0.01904296875,0.037156170806901895
13500.0,0.0002390231789845042,0.0,0.01904296875,0.03786224930919315
13800.0,0.00026562044221159015,0.0,0.01904296875,0.03854744975313534
14100.0,0.00029392614429445927,0.0,0.01904296875,0.03921238948271923
14400.0,0.00032393205210021263,0.0,0.02001953125,0.03985766758767101
14700.0,0.0003556213706443071,0.0,0.0205078125,0.04048386544321303
15000.0,0.00038896921669506735,0.0,0.0205078125,0.04109154723386476
15300.0,0.00042394317000096445,0.0,0.0205078125,0.04168126046175507
15600.0,0.00046050388069907754,0.0,0.0205078125,0.04225353643990451
15900.0,0.0004986057135964925,0.0,0.021484375,0.04280889077092149
16200.0,0.0005381974124223484,0.0,0.021484375,0.04334782381154404
16500.0,0.0005792227696289563,0.0,0.021484375,0.04387082112344542
16800.0,0.0006216212897385578,0.0,0.021484375,0.04437835391070988
17100.0,0.0006653288364986306,0.0,0.021484375,0.04487087944437265
17400.0,0.0007102782561706028,0.0,0.021484375,0.045348841474406786
17700.0,0.000756399971108656,0.0,0.021484375,0.04581267062952784
18000.0,0.0008036225393801934,0.0,0.02197265625,0.04626278480517678
18300.0,0.0008518731775434357,0.0,0.0224609375,0.0466995895400306
18600.0,0.0009010782448445043,0.0,0.0224609375,0.0471234783813799
18900.0,0.0009511636880449318,0.0,0.0224609375,0.04753483323970253
19200.0,0.0010020554468616277,0.0,0.0224609375,0.047934024732752926
19500.0,0.0010536798206163913,0.0,0.0224609375,0.04832141251947702
19800.0,0.0011059637971718678,0.0,0.02294921875,0.048697345624053576
20100.0,0.001158835345595037,0.0,0.0234375,0.04906216275035404
20400.0,0.0012122236742557627,0.0,0.02392578125,0.04941619258710392
20700.0,0.0012660594562527718,0.0,0.02392578125,0.04975975410402111
21000.0,0.0013202750241769069,0.0,0.02392578125,0.05009315683919742
21300.0,0.001374804536283993,0.0,0.02392578125,0.050416701177982734
21600.0,0.0014295841161679772,0.0,0.02392578125,0.050730678623622655
21900.0,0.0014845519680082464,0.0,0.02392578125,0.0510353720598938
22200.0,0.0015396484694210264,0.0,0.0244140625,0.051331056005973125
22500.0,0.001594816243880005,0.0,0.0244140625,0.051617996863771054
22800.0,0.00165000021459128,0.0,0.0244140625,0.05189645315795118
23100.0,0.0017051476416168549,0.0,0.02490234375,0.05216667576885291
23400.0,0.0017602081439429134,0.0,0.025390625,0.052428908158526626
23700.0,0.0018151337080869441,0.0,0.0263671875,0.052683386590085396
24000.0,0.0018698786847338728,0.0,0.0263671875,0.05293034034057058
24300.0,0.0019243997747875677,0.0,0.02685546875,0.05316999190752316
24600.0,0.0019786560061218704,0.0,0.02734375,0.05340255720944705
24900.0,0.002032608702215863,0.0,0.02734375,0.05362824578034489
25200.0,0.0020862214437621486,0.0,0.02734375,0.05384726095850152
25500.0,0.002139460024245202,0.0,0.02734375,0.05405980006968535
25800.0,0.00219229240039965,0.008,0.02734375,0.0542660546049327
26100.0,0.002244688638376028,0.016,0.02734375,0.05446621039307519
26400.0,0.0022966208563641563,0.024,0.02734375,0.0546604477681656
26700.0,0.002348063164351874,0.024,0.02734375,0.054848941731953246
27000.0,0.00239899160162942,0.024,0.02734375,0.05503186211155494
27300.0,0.0024493840725870937,0.024,0.02734375,0.05520937371246395
27600.0,0.002499220281295892,0.024,0.02734375,0.05538163646703448
27900.0,0.0025484816653073418,0.024,0.02734375,0.055548805578575784
28200.0,0.002597151329059579,0.024,0.02734375,0.05571103166118531
28500.0,0.002645213977231602,0.024,0.02734375,0.055868460875447376
28800.0,0.0026926558483463623,0.024,0.02734375,0.056021235060119176
29100.0,0.0027394646488856835,0.024,0.02734375,0.056169491859923065
29400.0,0.002785629488145673,0.024,0.02734375,0.05631336484956008
29700.0,0.0028311408140301595,0.024,0.02783203125,0.05645298365405656
30000.0,0.0028759903499514143,0.024,0.02783203125,0.056588474065552195
30300.0,0.0029201710329818955,0.024,0.02783203125,0.05671995815663478
30600.0,0.002963676953377707,0.024,0.02783203125,0.05684755439032377
30900.0,0.0030065032955737293,0.032,0.02783203125,0.056971377726801685
31200.0,0.0030486462807317633,0.04,0.02783203125,0.0570915397269897
31500.0,0.0030901031109063655,0.048,0.02783203125,0.05720814865306041
31800.0,0.0031308719148781528,0.048,0.02783203125,0.05732130956597874
32100.0,0.003170951695691123,0.048,0.02783203125,0.05743112442015844
32400.0,0.0032103422799187346,0.056,0.02783203125,0.0575376921553199
32700.0,0.0032490442686731245,0.056,0.02783203125,0.05764110878563167
33000.0,0.003287058990362606,0.056,0.02783203125,0.05774146748621621
33300.0,0.003324388455194593,0.056,0.02783203125,0.05783885867709773
33600.0,0.0033610353114139936,0.064,0.02783203125,0.0579333701046678
